s.no,status,txn_description,balance,extraction date,extraction time,gender,age,amount,movement,customer_long,customer_lat
1,authorized,POS,35.39,01-08-2018,01:01:15,F,26,16.25,debit,153.4,-27.95
2,authorized,SALES-POS,21.2,01-08-2018,01:13:45,F,26,14.19,debit,153.4,-27.95
3,authorized,POS,5.71,01-08-2018,01:26:15,M,38,6.42,debit,151.2,-33.94
4,authorized,SALES-POS,2117.22,01-08-2018,01:38:45,F,40,40.9,debit,153.1,-27.66
5,authorized,SALES-POS,17.95,01-08-2018,01:51:15,F,26,3.25,debit,153.4,-27.95
6,posted,PAYMENT,1705.43,01-08-2018,02:00:00,M,20,163,debit,151.2,-33.87
7,authorized,SALES-POS,1248.36,01-08-2018,02:23:04,F,43,61.06,debit,144.9,-37.76
8,authorized,POS,1232.75,01-08-2018,04:11:25,F,43,15.61,debit,144.9,-37.76
9,authorized,POS,213.16,01-08-2018,04:40:00,F,27,19.25,debit,116,-32
10,posted,INTER BANK,466.58,01-08-2018,06:00:00,M,40,21,debit,151.2,-33.96
11,posted,PAYMENT,4348.5,01-08-2018,06:00:00,M,19,27,debit,146.9,-36.04
12,posted,PAYMENT,1203.75,01-08-2018,06:00:00,F,43,29,debit,144.9,-37.76
13,authorized,SALES-POS,207.08,01-08-2018,06:06:40,F,27,6.08,debit,116,-32
14,posted,INTER BANK,4438.16,01-08-2018,07:00:00,M,23,25,debit,151.2,-33.76
15,posted,INTER BANK,173.66,01-08-2018,07:00:00,M,43,39,debit,145.1,-37.84
16,authorized,POS,2.85,01-08-2018,07:20:48,M,30,10.79,debit,153,-27.61
17,posted,INTER BANK,260514.83,01-08-2018,08:00:00,M,46,22,debit,144.9,-37.9
18,posted,PAYMENT,3117.94,01-08-2018,08:00:00,F,26,55,debit,149,-34.97
19,posted,PAYMENT,38.31,01-08-2018,08:00:00,F,47,58,debit,115.7,-32.28
20,authorized,POS,708.28,01-08-2018,08:00:11,F,24,7.37,debit,145.4,-37.74
21,authorized,POS,3.85,01-08-2018,08:09:42,F,26,14.1,debit,153.4,-27.95
22,authorized,POS,275.93,01-08-2018,08:19:14,M,37,24.77,debit,153.3,-27.93
23,authorized,SALES-POS,259.37,01-08-2018,08:28:45,F,25,13.67,debit,115.7,-31.72
24,authorized,POS,30583.15,01-08-2018,08:47:48,F,43,12.08,debit,145.3,-38.03
25,authorized,POS,793.64,01-08-2018,08:57:20,M,21,72.12,debit,147,-37.97
